text;label
"""Как оформить потребительский кредит без справок о доходах?""";Кредитование
"""Какая сейчас процентная ставка по кредиту наличными?""";Кредитование
"""Хочу рассчитать график платежей на 3 года на сумму 500 тысяч.""";Кредитование
"""Мне пришло СМС об одобрении кредита, как его получить?""";Кредитование
"""Можно ли погасить кредит досрочно через мобильное приложение?""";Кредитование
"""Нужен поручитель для оформления займа на ремонт?""";Кредитование
"""Почему мне отказали в выдаче кредита, если кредитная история чистая?""";Кредитование
"""Хочу объединить несколько мелких кредитов в один, есть рефинансирование?""";Кредитование
"""У меня изменились паспортные данные, как обновить анкету заемщика?""";Кредитование
"""Что будет, если я просрочу платеж на два дня по личным обстоятельствам?""";Кредитование
"""Предоставляете ли вы кредитные каникулы в связи с потерей работы?""";Кредитование
"""Нужна справка об остатке задолженности для налоговой.""";Кредитование
"""Минимальный возраст для подачи заявки на кредит в вашем банке?""";Кредитование
"""Как работает страховка жизни при оформлении займа?""";Кредитование
"""Можно ли взять кредит, если я работаю как самозанятый?""";Кредитование
"""Требуется ли залог имущества для получения крупной суммы наличными?""";Кредитование
"""Как узнать свою полную стоимость кредита со всеми комиссиями?""";Кредитование
"""При досрочном погашении уменьшится срок или ежемесячный платеж?""";Кредитование
"""Где посмотреть актуальный статус моей заявки на получение денег?""";Кредитование
"""Хочу отказаться от навязанной страховки после подписания договора.""";Кредитование
"""Какие условия по семейной ипотеке в этом году?""";Ипотека
"""Можно ли использовать материнский капитал как первоначальный взнос?""";Ипотека
"""Хочу подать заявку на ипотеку с господдержкой онлайн.""";Ипотека
"""Какой минимальный процент по ипотеке для айтишников?""";Ипотека
"""Нужна оценка квартиры для оформления залога в банке.""";Ипотека
"""Как вывести квартиру из-под залога после выплаты долга?""";Ипотека
"""Требуется ли обязательное страхование недвижимости ежегодно?""";Ипотека
"""Хочу рефинансировать ипотеку другого банка под меньший процент.""";Ипотека
"""Какие документы нужны для подтверждения дохода по ипотеке?""";Ипотека
"""Можно ли купить долю в квартире через ипотечное кредитование?""";Ипотека
"""Какая максимальная сумма выдается на покупку загородного дома?""";Ипотека
"""Предоставляете ли вы ипотечные каникулы при снижении дохода?""";Ипотека
"""Сколько времени банк рассматривает заявку на покупку жилья?""";Ипотека
"""Как получить налоговый вычет за проценты по ипотеке?""";Ипотека
"""Нужна справка об уплаченных процентах для налоговой инспекции.""";Ипотека
"""Можно ли досрочно гасить ипотеку через мобильное приложение?""";Ипотека
"""Какая страховая компания аккредитована банком для ипотеки?""";Ипотека
"""Хочу изменить дату ежемесячного платежа по жилищному кредиту.""";Ипотека
"""Возможно ли оформление ипотеки без официального трудоустройства?""";Ипотека
"""Что делать, если застройщик задерживает сдачу дома в ипотеке?""";Ипотека
"""Какая сейчас максимальная ставка по накопительному счету?""";Вклады
"""Хочу открыть срочный вклад на 6 месяцев с капитализацией.""";Вклады
"""Можно ли снимать деньги с депозита без потери процентов?""";Вклады
"""Как работает пролонгация вклада после окончания срока?""";Вклады
"""Застрахованы ли мои сбережения в Агентстве по страхованию вкладов?""";Вклады
"""Минимальная сумма для открытия вклада «Выгодный»?""";Вклады
"""Хочу закрыть вклад досрочно, сколько процентов я потеряю?""";Вклады
"""Можно ли пополнять депозит через мобильное приложение?""";Вклады
"""Как открыть валютный вклад в юанях или дирхамах?""";Вклады
"""Нужно ли платить налог с доходов по вкладам в этом году?""";Вклады
"""Чем отличается накопительный счет от обычного вклада?""";Вклады
"""Хочу перевести проценты по вкладу на свою дебетовую карту.""";Вклады
"""Как узнать дату окончания моего депозита онлайн?""";Вклады
"""Какие документы нужны пенсионеру для повышенной ставки?""";Вклады
"""Есть ли у вас вклады с ежедневным начислением процентов?""";Вклады
"""Можно ли оформить доверенность на родственника по моему счету?""";Вклады
"""Как работает лестничное начисление процентов по депозиту?""";Вклады
"""Хочу заказать выписку по движению средств на вкладе за год.""";Вклады
"""Что такое капитализация и как она увеличивает доходность?""";Вклады
"""Можно ли объединить два вклада в один для удобства?""";Вклады
"""Какой сегодня курс продажи доллара в кассе банка?""";Обмен валют
"""Где я могу обменять юани на рубли наличными?""";Обмен валют
"""Есть ли комиссия при покупке евро через мобильное приложение?""";Обмен валют
